manual_geocode_id,CONTROL,TESTERID,HSITEAD,HSITETYP,HUNITNO,HCITY,HSTATE,HZIP,lat,long,blockgroup_geoid,block_geoid,distance_km,flag_class,manual_lat,manual_long,manual_source,manual_notes,review_complete,drop_row
NY-SB-0502-1 | NY005 |  | Pomona | NY | 10970,NY-SB-0502-1,NY005,,,,Pomona,NY,10970,41.184475,-74.044415,3.6087E+11,3.6087E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: empty street address,,
NY-SB-2506-1 | NY043 | 1 |  | -1 | ,NY-SB-2506-1,NY043,1,,,,-1,,,,,,,Broad bad-address review candidate,,,,broad_bad_address_rule: numeric-only street address,,
NY-SB-2601-1 | NY025 | Parks de Flats 362 St. Nicholas Ave | New York | NY | 10027,NY-SB-2601-1,NY025,Parks de Flats 362 St. Nicholas Ave,,5C,New York,NY,10027,40.8126081,-73.9507968,3.6061E+11,3.6061E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: possible reversed street order,,
NY-SB-2601-1 | NY025 | Parks de Flats 362 St. Nicholas ave | New York | NY | 10027,NY-SB-2601-1,NY025,Parks de Flats 362 St. Nicholas ave,,5C,New York,NY,10027,40.8126081,-73.9507968,3.6061E+11,3.6061E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: possible reversed street order,,
NY-SB-2804-1 | NY010 | Btwn Washington and Greenwich | New York | NY | ,NY-SB-2804-1,NY010,Btwn Washington and Greenwich,,,New York,NY,,40.71375672,-74.01204769,3.6061E+11,3.6061E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
NY-SH-3502-1 | NY087 | Todt Hill Rd. | Staten Island | NY | ,NY-SH-3502-1,NY087,Todt Hill Rd.,,,Staten Island,NY,,40.6121685,-74.11898008,3.6085E+11,3.6085E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
PD-SB-0602-1 | PD025 | Lot 65 Union Street | West Chester Boro | PA | 19382,PD-SB-0602-1,PD025,Lot 65 Union Street,,,West Chester Boro,PA,19382,39.95798965,-75.60051862,4.20293E+11,4.20293E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: possible reversed street order,,
RM-SB-2701-1 | RM078 | Oakleys Rd (Florence layout) | Henrico | VA | 23231,RM-SB-2701-1,RM078,Oakleys Rd (Florence layout),,,Henrico,VA,23231,37.4910118,-77.3537547,5.10872E+11,5.10872E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
RM-SB-2701-1 | RM078 | model - office house (Palermo layout) | Henrico | VA | 23231,RM-SB-2701-1,RM078,model - office house (Palermo layout),,,Henrico,VA,23231,37.4910118,-77.3537547,5.10872E+11,5.10872E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
RM-SB-2701-1 | RM078 | model -Cedar Run Rd (the Venice Layout) | Henrico | VA | 23231,RM-SB-2701-1,RM078,model -Cedar Run Rd (the Venice Layout),,,Henrico,VA,23231,37.4910118,-77.3537547,5.10872E+11,5.10872E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
RM-SB-3212-1 | RM032 | Lot 56 Shenandoah Circle | Hopewell | VA | 23860,RM-SB-3212-1,RM032,Lot 56 Shenandoah Circle,,,Hopewell,VA,23860,37.2843503,-77.3280322,5.16708E+11,5.16708E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: possible reversed street order,,
RS-SA-1006-1 | RS074 | Imperial Court West | Palm Desert | CA | 92211,RS-SA-1006-1,RS074,Imperial Court West,,,Palm Desert,CA,92211,33.77945471,-116.3739579,60650449221,6.06504E+13,,Broad bad-address review candidate,,,,broad_bad_address_rule: word-only street field,,
RS-SH-0301-1 | RS006 | Unknown | Murrieta | CA | 92562,RS-SH-0301-1,RS006,Unknown,,,Murrieta,CA,92562,33.5636407,-117.2189261,60650506004,6.06505E+13,,Broad bad-address review candidate,,,,broad_bad_address_rule: placeholder street address,,
RS-SH-0301-1 | RS006 | unknown |  | CA | 92562,RS-SH-0301-1,RS006,unknown,,,,CA,92562,33.9872586,-118.4737828,60372735022,6.03727E+13,61.57738416,Outside assigned market (>5 km),,,,broad_bad_address_rule: placeholder street address,,
SA-SA-4112-1 | SA121 | 15727 | San Antonio | TX | 78232,SA-SA-4112-1,SA121,15727,,,San Antonio,TX,78232,30.0898528,-98.412883,4.8032E+11,4.8032E+14,10.22833487,Outside assigned market (>5 km),,,,broad_bad_address_rule: numeric-only street address,,
SA-SH-3308-1 | SA036 | 325000 | San Antonio | TX | 78253,SA-SH-3308-1,SA036,325000,,,San Antonio,TX,78253,29.4672898,-98.7562767,4.80292E+11,4.80292E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: numeric-only street address,,
SA-SH-3404-1 | SA039 |  |  | -1 | 78258,SA-SH-3404-1,SA039,,,,,-1,78258,29.6378465,-98.4886938,4.80292E+11,4.80292E+14,,Broad bad-address review candidate,,,,broad_bad_address_rule: empty street address,,
