"STOTUNIT","APRACE","CONTROL","SEQUENCE.x","month","HCITY","ARELATE2","HHMTYPE","SAPPTAM","TSEX.x","THHEGAI","TPEGAI","THIGHEDU","TCURTENR","ALGNCUR","AELNG1","DPMTEXP","AMOVERS","age","ALEASETP","ACAROWN","w2012pc_Ad","b2012pc_Ad","a2012pc_Ad","hisp2012pc_Ad","logAdPrice","SAVLBAD","HZIP","HSITEAD","zip_Ad"
17,"1","BN-SB-2906-1",1,3,"Framingham",2,1,2,0,"6","1","9",1,2,2,"2","1",53,"2","1",0.827393875862461,0.0525217203009761,0.0346938774802166,0.0469387754144107,13.016782837543,1,"1702","105 Winter Street","""01702"""
NA,"2","BN-SB-2910-1",2,3,"320 Danvers",2,3,2,0,"7","2","11",2,8,7,"1","1",63,"2","1",0.838982448350324,0.0268425439823398,0.0533433479383438,0.0601051807755987,12.6112076991764,1,"1923","320 Newbury St",NA
6,"2","BN-SB-2910-1",1,3,"320 Danvers",2,3,1,0,"7","2","11",2,8,7,"1","1",63,"2","1",0.838982448350324,0.0268425439823398,0.0533433479383438,0.0601051807755987,12.6112076991764,1,"1923","320 Newbury St",NA
7,"2","BN-SB-3001-1",1,3,"Pembroke",2,1,2,0,"2","-1","4",1,7,5,"2","3",32,"2","1",0.927440633245383,0,0,0.0382585751978892,13.0145331478456,1,"2359","525 Mattakeesett Street","""02359"""
3,"1","BN-SB-3001-1",1,3,"Pembroke",2,1,2,0,"6","1","9",1,4,3,"1","1",53,"2","1",0.927440633245383,0,0,0.0382585751978892,13.0145309201258,1,"2359","525 Mattakeesett Street","""02359"""
1,"2","BN-SB-3003-1",1,3,"Medford",2,4,2,0,"5","5","4",1,8,7,"1","5",47,"2","1",0.864864864864865,0.0521235521235521,0.083011583011583,0,12.5421912482017,1,"2155","500 Salem St.",NA
7,"1","BN-SB-3003-1",1,3,"Medford",2,3,1,0,"6","1","9",1,4,5,"2","2",53,"2","1",0.864864864864865,0.0521235521235521,0.083011583011583,0,12.5421912482017,1,"2155","500 Salem Street",NA
5,"2","BN-SB-3108-1",1,3,"Milton",2,1,2,0,"9","3","11",2,7,7,"1","2",63,"2","1",0.357280434782609,0.460110869565217,0.0173913043478261,0.165217391304348,13.4429980013736,3,"2186","6 Norway Rd","""02186"""
0,"2","BN-SB-3108-1",2,3,"Milton",2,1,2,0,"9","3","11",2,7,7,"1","2",63,"2","1",0.357280434782609,0.460110869565217,0.0173913043478261,0.165217391304348,13.4429980013736,3,"2186","6 Norway Rd","""02186"""
9,"2","BN-SB-3112-1",1,3,"Charlestown",2,4,1,0,"9","3","11",2,7,7,"1","1",63,"2","1",0.846273291925466,0.0093167701863354,0.0698757763975155,0.0745341614906832,13.2861831604252,6,"2129","73 Chelsea St",NA
5,"1","BN-SB-3204-1",1,4,"winchester",2,3,2,0,"7","6","9",1,4,4,"2","6",35,"2","1",0.737044445170151,0,0.24302547905675,0.0199203188045348,13.5796629001347,-1,"1890","7 Swanton st","""01890"""
1,"1","BN-SB-3301-1",1,4,"Sudbury",2,1,2,0,"7","6","9",1,3,5,"3","3",35,"2","1",0.916455696202532,0,0.0582278481012658,0.0151898734177215,13.1001198134447,1,"1776","12 Normandy Drive","""01776"""
6,"1","BN-SB-3301-1",2,4,"Sudbury",2,1,1,0,"7","6","9",1,3,5,"3","3",35,"2","1",0.916455696202532,0,0.0582278481012658,0.0151898734177215,13.1001198134447,1,"1776","12 Normandy Drive","""01776"""
1,"2","BN-SB-3301-1",1,4,"Sudbury",2,1,2,0,"5","5","4",1,5,7,"1","5",47,"2","1",0.916455696202532,0,0.0582278481012658,0.0151898734177215,13.1001198134447,1,"1776","12 Normandy Drive","""01776"""
6,"2","BN-SB-3402-1",1,4,"Holliston",2,1,2,0,"5","5","11",1,5,5,"1","3",66,"2","1",0.945298775440119,0.0102565679596824,0.0136754245160438,0.0307692320841552,13.1613936878168,6,"1746","163 Overlook Drive","""01746"""
18,"1","BN-SB-3501-1",1,4,"Lexington",2,3,1,0,"7","6","9",1,3,5,"3","3",35,"2","1",0.72646404744255,0.0370644922164566,0.200148257968866,0.00815418828762046,13.3374763699232,1,"2421","8 Potter pond",NA
3,"2","BN-SB-3504-1",2,4,"Cambridge",2,2,2,0,"7","2","11",2,4,6,"3","5",63,"2","1",0.731946165411292,0.0142076856242112,0.128205125739645,0.0794871779585799,NA,2,"2138","129 Willow","""02141"""
0,"2","BN-SB-3504-1",1,4,"Cambridge",2,1,1,0,"7","2","11",2,4,6,"3","5",63,"2","1",0.745732936273726,0.0488826836124029,0.0656424608509411,0.0907821267087483,13.3455085287173,6,"2138","306 Columbia","""02141"""
0,"2","BN-SB-3504-1",1,4,"Cambridge",2,4,1,0,"7","2","11",2,4,6,"3","5",63,"2","1",0.64031826371602,0.0149531006803604,0.228962816435675,0.0469667315765488,13.0583601796223,6,"2138","146 Thorndike","""02141"""
3,"2","BN-SB-3504-1",2,4,"Cambridge",2,4,2,0,"7","2","11",2,4,6,"3","5",63,"2","1",0.64031826371602,0.0149531006803604,0.228962816435675,0.0469667315765488,13.0583601796223,2,"2138","146 Thorndike","""02141"""
3,"2","BN-SB-3504-1",2,4,"Cambridge",2,1,2,0,"7","2","11",2,4,6,"3","5",63,"2","1",0.745732936273726,0.0488826836124029,0.0656424608509411,0.0907821267087483,13.3455085287173,2,"2138","306 Columbia","""02141"""
0,"2","BN-SB-3504-1",1,4,"Cambridge",2,2,1,0,"7","2","11",2,4,6,"3","5",63,"2","1",0.731946165411292,0.0142076856242112,0.128205125739645,0.0794871779585799,NA,6,"2138","129 Willow","""02141"""
2,"1","BN-SB-3504-1",1,4,"Brookline",2,4,2,0,"6","1","9",1,3,4,"1","1",53,"2","1",0.759880686055183,0,0.19537658463833,0.0305741983594333,13.0794579640735,1,"2446","60 Longwood Avenue",NA
3,"1","BN-SB-3603-1",2,4,"Andover",2,1,2,0,"6","1","9",1,3,4,"1","5",53,"2","1",0.818783068783069,0.0277777777777778,0.133597883597884,0,13.4148852192554,1,"1810","11 Starr Avenue East","""01810"""
3,"1","BN-SB-3603-1",1,4,"Andover",2,1,2,0,"6","1","9",1,3,4,"1","5",53,"2","1",0.818783068783069,0.0277777777777778,0.133597883597884,0,13.4148852192554,1,"1810","11 Starr Avenue East","""01810"""
3,"1","BN-SB-3603-1",2,4,"Andover",2,1,2,0,"6","1","9",1,3,4,"1","5",53,"2","1",0.818783068783069,0.0277777777777778,0.133597883597884,0,13.4148852192554,1,"1810","11 Starr Avenue East","""01810"""
3,"1","BN-SB-3603-1",1,4,"Andover",2,1,2,0,"6","1","9",1,3,4,"1","5",53,"2","1",0.818783068783069,0.0277777777777778,0.133597883597884,0,13.4148852192554,1,"1810","11 Starr Avenue East","""01810"""
1,"2","BN-SB-3607-1",1,4,"Reading",2,1,2,0,"5","5","4",1,6,7,"1","7",47,"2","1",0.983333333333333,0,0,0.0166666666666667,12.6407761161951,1,NA,"52 Sanborn Street",NA
1,"1","BN-SB-3607-1",1,4,"Andover",2,4,2,0,"6","1","9",1,4,4,"3","3",53,"2","1",0.983333333333333,0,0,0.0166666666666667,12.6407761161951,1,"1867","52 Sanborn Street",NA
9,"1","BN-SB-4304-1",1,6,"Acton",2,1,1,0,"2","2","11",1,2,3,"2","2",27,"2","1",0.71055381400209,0,0.268547544409613,0.0208986415882968,13.1900238950353,1,"1720","6 Abel Jones Pl","""01720"""
2,"2","BN-SB-4304-1",1,6,"Acton",2,1,1,0,"3","3","8",-1,3,4,"3","1",48,"2","1",0.71055381400209,0,0.268547544409613,0.0208986415882968,13.1900238950353,6,"1720","6 Abel Jones Place","""01720"""
4,"2","BN-SB-4605-1",1,7,"Dedham",2,1,2,0,"5","5","11",1,4,3,"1","2",66,"2","1",1,0,0,0,12.992256969959,6,"2026","45 Elmwood street","""02026"""
7,"1","BN-SB-4605-1",1,7,"dedham",2,1,1,0,"-1","-1","9",2,2,2,"3","5",68,"2","1",0.973520249221184,0,0.0264797507788162,0,12.9692145289098,1,"2026","5 Coach Road","""02026"""
7,"1","BN-SB-4605-1",1,7,"Dedham",2,1,1,0,"-1","-1","9",2,2,2,"3","5",68,"2","1",0.867435158501441,0.118155619596542,0.0144092219020173,0,12.9239148777019,1,"2026","31 Brookside Ave","""02026"""
7,"1","BN-SB-4605-1",1,7,"Dedham",2,1,1,0,"-1","-1","9",2,2,2,"3","5",68,"2","1",0.813008130081301,0,0.013550135501355,0.140921409214092,12.8967192021345,1,"2026","9 Tarbox St","""02026"""
7,"1","BN-SB-4605-1",1,7,"Dedham",2,1,1,0,"-1","-1","9",2,2,2,"3","5",68,"2","1",0.973520249221184,0,0.0264797507788162,0,12.6729495165583,1,"2026","1121 East Street","""02026"""
7,"1","BN-SB-4605-1",1,7,"dedham",2,1,1,0,"-1","-1","9",2,2,2,"3","5",68,"2","1",1,0,0,0,12.9943049805781,1,"2026","45 Elmwood St","""02026"""
7,"1","BN-SB-4605-1",1,7,"Dedham",2,1,1,0,"-1","-1","9",2,2,2,"3","5",68,"2","1",0.813008130081301,0,0.013550135501355,0.140921409214092,12.8989722954569,1,"2026","29 Paul Street","""02026"""
7,"1","BN-SB-4605-1",1,7,"Dedham",2,1,1,0,"-1","-1","9",2,2,2,"3","5",68,"2","1",0.867435158501441,0.118155619596542,0.0144092219020173,0,12.9239148777019,1,"2026","31 Brookside Ave","""02026"""
3,"1","BN-SB-5003-1",1,8,"sutton",2,-1,1,0,"6","-1","3",1,2,2,"2","2",30,"2","1",0.971428571428571,0.0285714285714286,0,0,12.8866435755256,5,"1590","54 torrey road","""01590"""
1,"1","BN-SB-5803-1",1,9,"Marblehead",2,2,2,1,"7","1","11",1,2,2,"1","1",36,"2","1",0.953333333333333,0,0,0.0355555555555556,13.2445827800385,1,"1945","84 Front St.",NA
3,"3","BN-SH-0703-1",1,10,"Natick",2,4,1,1,"2","1","9",1,2,2,"2","7",25,"2","1",0.781533388293487,0,0.197856553998351,0.0156636438582028,11.9823101527112,1,"1760","6 Squire Ct.","""01760"""
3,"1","BN-SH-1904-1",2,1,"Brighton",2,1,2,1,"9","7","11",1,2,2,"2","2",35,"2","1",0.76537309997568,0.0529323468898721,0.165950045053489,0.0157367670121899,13.0170050839663,2,"2135","6 Margo Rd",NA
3,"1","BN-SH-1904-1",1,1,"Brighton",2,1,2,1,"9","7","11",1,2,2,"2","2",35,"2","1",0.76537309997568,0.0529323468898721,0.165950045053489,0.0157367670121899,13.0170050839663,2,"2135","6 Margo Rd",NA
2,"3","BN-SH-3305-1",2,4,"Somerville",2,1,2,1,"2","1","9",1,4,2,"2","7",25,"2","1",0.851385959567542,0.039761432122968,0.019880716061484,0.0576540765783036,12.9456285855363,6,"2143","10 Spring Street",NA
7,"3","BN-SH-3305-1",1,4,"Somerville",2,1,1,1,"2","1","9",1,4,2,"2","7",25,"2","1",0.851385959567542,0.039761432122968,0.019880716061484,0.0576540765783036,12.9456285855363,1,"2143","10 Spring Street",NA
4,"1","BN-SH-3305-1",2,4,"Somerville",2,1,2,1,"7","1","11",1,3,2,"1","2",36,"2","1",0.851385959567542,0.039761432122968,0.019880716061484,0.0576540765783036,12.992256969959,6,"2143","10 Spring St. Spring Hill",NA
1,"1","BN-SH-3305-1",1,4,"Somerville",2,1,2,1,"7","1","11",1,3,2,"1","2",36,"2","1",0.851385959567542,0.039761432122968,0.019880716061484,0.0576540765783036,12.992256969959,1,"2143","10 Spring St. Spring Hill",NA
1,"1","BN-SH-4601-1",1,7,"Brookline",2,3,2,1,"7","1","11",1,2,3,"1","2",36,"2","1",0.759880686055183,0,0.19537658463833,0.0305741983594333,12.6280703342727,1,"2446","194 St. Paul St.",NA
1,"1","BN-SH-4601-1",2,7,"Brookline",2,3,2,1,"7","1","11",1,2,3,"1","2",36,"2","1",0.759880686055183,0,0.19537658463833,0.0305741983594333,12.6280703342727,1,"2446","194 St. Paul St.",NA
4,"1","BN-SH-5509-1",1,9,"Waltham",1,3,1,0,"7","6","9",1,2,2,"2","7",35,"2","1",0.49867374005305,0.0212201591511936,0.236074270557029,0.244031830238727,12.7215902447438,1,"2453","40 Myrtle Street",NA
0,"1","BN-SH-5509-1",2,9,"Waltham",1,3,2,0,"7","6","9",1,2,2,"2","7",35,"2","1",0.49867374005305,0.0212201591511936,0.236074270557029,0.244031830238727,12.7215902447438,1,"2453","40 Myrtle Street",NA
2,"3","BN-SH-5509-1",1,9,"Waltham",2,3,1,0,"-1","-1","9",-1,4,3,"2","2",24,"2","1",0.49867374005305,0.0212201591511936,0.236074270557029,0.244031830238727,12.7215902447438,1,"2452","40 Myrtle Street",NA
5,"1","BN-SH-5801-1",1,9,"billerica",2,3,1,0,"6","6","9",2,2,2,"1","2",65,"2","1",0.970319634703196,0,0,0,12.5389706450265,1,"1821","8 billerica Ave","""01821"""
2,"3","BN-SH-5801-1",1,9,"Billerica",1,3,1,0,"10","6","9",2,NA,NA,"3","9",63,"2","1",0.969034608378871,0,0.0309653916211293,0,12.5353799897886,1,"1862","8 Billerica Avenue",NA
3,"1","BN-SH-5813-1",1,9,"burlington",2,4,2,0,"6","6","9",2,2,2,"1","2",65,"2","1",1,0,0,0,12.7910804529819,1,"1803","235 cambridge st",NA
3,"3","BN-SH-5813-1",1,9,"Burlington",2,4,2,0,"10","6","9",2,NA,NA,"3","9",63,"2","1",1,0,0,0,12.7654055363111,1,"1803","235 Cambridge",NA
4,"1","BN-SH-5816-1",1,9,"Charlton",1,1,2,1,"3","3","11",1,NA,NA,"3","9",51,"1","1",0.964912280701754,0.0245614035087719,0.00584795321637427,0,12.0719753785432,1,"1507","26 Number 10 Schoolhouse Rd.",NA
2,"1","BN-SH-5818-1",1,9,"Millbury",2,1,2,1,"3","3","11",1,3,NA,"3","1",51,"2","1",1,0,0,0,12.6112076991764,1,"1527","18 Brierly Pond","""01527"""
2,"3","BN-SH-5818-1",1,9,"MILLBURY",2,4,1,1,"10","7","9",2,5,NA,"1","9",62,"2","1",1,0,0,0,12.6112076991764,1,"1527","8 Ashton Lane","""01527"""
1,"1","BN-SH-5827-1",1,9,"braintree",2,3,1,0,"6","6","9",2,NA,NA,"3","9",65,"2","1",0.831786542923434,0,0.112529002320186,0.0336426914153132,12.4680560682559,1,"2184","102 Bradford Commns Lane","""02184"""
0,"4","BT-SA-0201-1",1,8,"Edgewood",2,1,1,1,"3","1","9",3,4,3,"2","3",24,"1","1",0.450537634408602,0.461290322580645,0.0548387096774194,0.0172043010752688,11.8844959179307,1,"21040","3020 ebbtide Dr","""21040"""
5,"1","BT-SA-0502-1",1,9,"Baltimore",2,1,2,0,"1","1","9",3,5,2,"2","3",28,"1","1",0.291891891891892,0.708108108108108,0,0,11.8422364063316,1,"21215","5808 Jonquil Ave.","""21215"""
1,"4","BT-SA-1004-1",1,10,"Edgewood",3,3,2,0,"3","1","4",3,2,2,NA,"7",22,"2","1",0.396298235981308,0.538281203271028,0.0175233644859813,0.0478971962616822,11.9829353441964,1,"21040","742 Cardiff Cir","""21040"""
1,"1","BT-SA-1006-1",1,10,"Manchester",1,1,2,1,"10","7","9",1,3,3,"1","1",35,"2","1",0.890909090909091,0.0597402597402597,0.0493506493506494,0,12.2055775229772,1,"21102","4516 Oakleigh Dr",NA
7,"1","BT-SA-2501-1",1,1,"Baltimore",3,3,2,0,"7","1","-1",1,4,4,"2","5",43,"2","1",0.775545391695844,0.108906374644572,0.0330019318704923,0.0825082521185287,12.5741854272962,1,"21239","18 Stoneridge Ct.",NA
6,"4","BT-SA-2501-1",1,2,"Baltimore",3,3,-1,0,"1","1","7",1,2,3,"3","6",22,"2","1",0.775545391695844,0.108906374644572,0.0330019318704923,0.0825082521185287,12.5741854272962,1,"21239","18 Stoneridge Court",NA
4,"4","BT-SA-3201-1",1,3,"baltimore",1,3,1,0,"5","3","9",2,7,7,"3","3",53,"2","1",0.372134038800705,0.516754850088183,0.0440917107583774,0.00881834215167548,12.2010651288196,1,"21230","759 Ramsay Street","""21230"""
1,"1","BT-SA-3201-1",1,3,"Baltimore",1,3,2,0,"8","5","7",2,7,3,"1","1",58,"2","1",0.372134038800705,0.516754850088183,0.0440917107583774,0.00881834215167548,12.0827800852783,1,"21230","759 Ramsay St","""21230"""
1,"4","BT-SA-3204-1",1,3,"Jarrettsville",2,1,1,0,"1","1","7",1,2,2,"2","2",22,"1","1",0.893822393822394,0.0733590733590734,0,0,12.7934175462022,1,"21084","1512 Baldwin Mill R d","""21084"""
1,"1","BT-SA-3204-1",1,3,"Jarrettsville",2,-1,2,0,"2","2","8",1,2,3,"3","9",23,"2","1",0.893822393822394,0.0733590733590734,0,0,12.7934175462022,1,"","1512 Baldwin Mill Rd","""21084"""
1,"1","BT-SA-3205-1",1,3,"Baltimore",3,1,2,0,"1","1","7",1,2,3,"3","2",21,"2","1",0.905748933142465,0.0282133317560755,0,0.0358490561979352,12.3883983689821,1,"21236","50 Fencerow Ct","""21236"""
3,"4","BT-SA-3205-1",1,3,"Baltimore",3,1,2,0,"1","1","2",3,3,3,"2","6",23,"2","1",0.905748933142465,0.0282133317560755,0,0.0358490561979352,12.3883983689821,1,"21236","50 Fencerow Ct","""21236"""
0,"4","BT-SA-3313-1",2,3,"Cockeysville",2,1,2,1,"3","1","9",3,3,3,"2","8",24,"2","1",0.853360488798371,0,0.0672097759674134,0.0794297352342159,12.5061809416774,6,"21030","829 Warren Rd",NA
1,"4","BT-SA-3313-1",1,3,"Cockeysville",2,1,1,1,"3","1","9",3,3,3,"2","8",24,"2","1",0.853360488798371,0,0.0672097759674134,0.0794297352342159,12.5061809416774,1,"21030","829 Warren Rd",NA
5,"1","BT-SA-3313-1",1,3,"Cockeysville",2,1,-1,1,"5","5","9",1,3,2,"1","1",23,"2","1",0.853360488798371,0,0.0672097759674134,0.0794297352342159,12.5061809416774,1,"21030","829 Warren Road",NA
4,"4","BT-SA-3402-1",1,3,"Annapolis",2,4,2,0,"1","1","2",3,5,3,"2","1",23,"2","1",0.88628762541806,0.0551839464882943,0,0.0585284280936455,12.425212191503,1,"21401","2011 Warners Ter",NA
1,"1","BT-SA-3816-1",1,4,"Essex",2,1,2,0,"3","3","9",1,2,2,"2","7",23,"1","1",0.634078212290503,0.282122905027933,0,0.0837988826815642,11.9177303551825,1,"21221","2 Luffing Court","""21221"""
1,"4","BT-SA-4103-1",1,5,"Hanover",2,3,2,1,"3","1","9",3,5,5,"1","7",24,"2","1",0.492044058829434,0.288579968614476,0.164422683008509,0.0395756830070109,12.4288201184157,1,"21076","7559 Stoney Run Drive",NA
NA,"1","BT-SA-4103-1",1,NA,"Hanover",2,4,NA,1,"5","5","9",1,3,3,"2","3",23,"2","1",0.492044058829434,0.288579968614476,0.164422683008509,0.0395756830070109,12.4288201184157,NA,"21076","7559 Stoney Run Dr #203","""21076"""
4,"1","BT-SA-4103-1",2,5,"Hanover",2,4,1,1,"5","5","9",1,3,3,"2","3",23,"2","1",0.492044058829434,0.288579968614476,0.164422683008509,0.0395756830070109,12.4288201184157,1,"21076","7559 Stoney Run Dr #203","""21076"""
2,"4","BT-SA-4116-1",1,5,"Abingdon",2,1,1,0,"1","1","2",3,5,5,"3","7",23,"2","1",0.67692226139319,0.210672618431482,0.0556138497130066,0.0104931791911333,12.4996746604929,1,"21009","1418 Pumpkin Patch Ct","""21009"""
1,"1","BT-SA-4116-1",1,5,"Abingdon",2,3,2,0,"3","3","9",1,2,3,"1","1",23,"1","1",0.67692226139319,0.210672618431482,0.0556138497130066,0.0104931791911333,12.4996746604929,1,"21009","1418 Pumpkin Patch Court","""21009"""
1,"4","BT-SA-4117-1",1,5,"Halethorpe",2,1,2,1,"3","1","9",3,5,4,"2","7",24,"2","1",0.754946727549467,0.17351598173516,0.0487062404870624,0.0228310502283105,12.2055775229772,1,"21227","1909 Halethorpe ave",NA
3,"4","BT-SA-4125-1",1,5,"Baltimore",2,1,2,0,"1","1","2",3,5,4,"1","1",23,"2","1",0.0376712328767123,0.962328767123288,0,0,11.8844959179307,1,"21215","3339 Ingleside Ave","""21215"""
1,"1","BT-SA-4125-1",1,5,"Baltimore",2,1,2,0,"3","3","9",1,2,3,"2","6",23,"2","1",0.0376712328767123,0.962328767123288,0,0,11.8844959179307,1,"","3339 Ingleside Avenue","""21215"""
3,"4","BT-SA-4204-1",1,5,"Crofton",2,3,1,0,"1","1","2",3,5,4,"2","1",23,"2","1",0.668975957706329,0.250332400572537,0.0426512963383136,0.0328530255578902,11.8486903085909,1,"21146","1446 Harwick Ct #85yf",NA
1,"1","BT-SA-4204-1",1,5,"Crofton",2,2,2,0,"3","3","9",1,2,3,"3","4",23,"1","1",0.668975957706329,0.250332400572537,0.0426512963383136,0.0328530255578902,11.8486903085909,1,"21114","1446 Harwick Court","""21114"""
3,"4","BT-SA-4210-1",1,5,"Belcamp",2,1,2,0,"1","1","2",3,4,5,"2","3",23,"2","1",0.668269230769231,0.201923076923077,0.0269230769230769,0.0769230769230769,12.072546967175,1,"","4203 Goodson Ct","""21017"""
1,"1","BT-SA-4210-1",1,5,"Belcamp",2,3,2,0,"3","3","9",1,2,2,"1","7",23,"1","1",0.668269230769231,0.201923076923077,0.0269230769230769,0.0769230769230769,12.072546967175,1,"21017","4203 Goodson Court","""21017"""
2,"4","BT-SA-4302-1",1,6,"Baltimore",2,1,2,0,"1","1","2",3,4,4,"1","1",23,"2","1",0.894736842105263,0,0.091533180778032,0.0137299771167048,12.1807599657379,1,"21230","2402 Hudson St","""21224"""
1,"1","BT-SA-4302-1",1,6,"Baltimore",2,3,2,0,"3","3","9",1,2,2,"2","7",23,"1","1",0.894736842105263,0,0.091533180778032,0.0137299771167048,12.1807599657379,1,"21224","2402 Hudson Street","""21224"""
2,"4","BT-SA-4306-1",1,6,"Randallstown",2,1,2,0,"1","1","2",3,4,5,"1","4",23,"2","1",0.171650164871715,0.756545982867373,0.0245183885768968,0.0472854636840152,12.0719753785432,1,"21133","8736 Meadow Heights Rd","""21133"""
1,"1","BT-SA-4309-1",1,6,"Baltimore",2,4,1,0,"4","2","9",1,3,2,"2","7",28,"1","1",0.908,0.018,0.03,0.014,12.0429711934579,1,"21209","3311 Katewood Ct",NA
1,"1","BT-SA-4309-1",1,6,"Baltimore",2,2,1,0,"4","2","9",1,3,2,"2","7",28,"1","1",0.908,0.018,0.03,0.014,12.0429711934579,1,"21209","3311 Katewood Court",NA
3,"4","BT-SA-4309-1",1,6,"Baltimore",2,2,2,0,"1","1","2",3,5,4,"3","1",23,"2","1",0.908,0.018,0.03,0.014,12.0429711934579,1,"21209","3311 Katewood Ct # 3311",NA
5,"1","BT-SA-4311-1",1,6,"Millersville",2,1,1,0,"3","2","9",2,3,7,"1","1",37,"1","1",1,0,0,0,13.2498784582651,1,"21108","394 Boxelder Ct","""21108"""
3,"4","BT-SA-4323-1",1,6,"Elkridge",2,2,2,0,"1","1","2",3,4,4,"3","1",23,"2","1",0.325284916201117,0.452368715083799,0.134078212290503,0.0692737430167598,12.4680560682559,1,"21075","7589 Cherrybark Oak Ln",NA
1,"1","BT-SA-4323-1",1,6,"Elkridge",2,3,2,0,"3","3","9",1,2,3,"1","3",23,"1","1",0.325284916201117,0.452368715083799,0.134078212290503,0.0692737430167598,12.4680560682559,1,"21075","7589 Cherrybark Oak Lane",NA
1,"3","BT-SA-4410-1",1,6," Baltimore",2,3,1,1,"9","1","7",1,2,2,"3","7",22,"1","1",0.698513800424628,0.156050955414013,0.0456475583864119,0.0498938428874735,12.0137068134704,1,"21236","3415 Saluda Rd",NA
6,"4","BT-SA-4410-1",1,6,"Baltimore",2,3,2,1,"10","-1","9",3,4,3,"2","1",24,"2","1",0.698513800424628,0.156050955414013,0.0456475583864119,0.0498938428874735,12.0137068134704,1,"21236","3415 Saluda Rd","""21236"""
1,"1","BT-SA-4416-1",1,6,"Bel Air",2,2,2,0,"3","3","9",1,2,2,"1","6",23,"1","1",0.884328358868902,0.0771524851322033,0,0.0335820895773001,11.8838060295962,1,"21014","202 C Thames Way",NA
2,"1","BT-SA-4504-1",1,6,"Baltimore",2,1,2,1,"5","5","9",1,2,2,"2","4",23,"1","1",0.151401869158879,0.467289719626168,0.314018691588785,0,12.1275758256894,1,"21244","2023 Kennicott Rd","""21244"""
2,"4","BT-SA-4506-1",1,6,"Bel Air",2,1,2,0,"1","1","2",3,4,5,"3","7",23,"2","1",0.88023088023088,0.088023088023088,0,0.0317460317460317,12.6666602074286,1,"21009","306 Barclay Ct","""21009"""
1,"1","BT-SA-4526-1",1,6,"Edgewood",2,1,1,0,"3","3","9",1,2,2,"1","2",23,"1","1",0.504359046052309,0.319933233839199,0.014000000168,0.088000001056,12.2010651288196,1,"21040","117 Broadneck Crossing Road","""21040"""
1,"3","BT-SA-4528-1",1,6,"Perry Hall",2,4,2,1,"9","1","7",1,2,2,"2","1",22,"1","1",0.922202274087373,0.0101735487731897,0.054458408138839,0,12.072546967175,1,"21128","18 Brook Farm Ct",NA
1,"3","BT-SA-4601-1",1,6,"Baltimore",2,1,1,1,"9","1","7",1,2,2,"2","2",22,"1","1",0.48314606741573,0.454431960049938,0.0274656679151061,0.017478152309613,12.2055775229772,1,"21237","9006 Tarpleys Court","""21237"""
1,"4","BT-SA-4605-1",1,6,"Randallstown",2,3,2,0,"1","1","7",1,3,4,"1","2",22,"1","1",0.141436464088398,0.847513812154696,0,0,11.9177303551825,1,"21133","3905 Red Deer Circle","""21133"""
1,"4","BT-SA-4605-1",1,6,"Randallstown",2,3,2,0,"1","1","7",1,3,4,"1","2",22,"1","1",0.141436464088398,0.847513812154696,0,0,11.9177303551825,1,"21133","3905 Red Deer Circle","""21133"""
2,"1","BT-SA-4605-1",1,6,"Randallstown",2,3,1,0,"3","3","9",1,3,4,"3","1",23,"1","1",0.120333129924154,0.80344388854885,0.0170648466105216,0.0159271901698201,12.0131005728107,1,"21133","3646 Waterwheel Square","""21133"""
1,"4","BT-SA-4607-1",1,6,"Jessup",3,1,2,0,"1","1","7",1,3,2,"1","2",22,"1","1",0.476833706009734,0.105590063029976,0.186335405347016,0.180124225168782,12.5865651851973,1,"20794","7522 Montevideo Ct","""20794"""
1,"1","BT-SA-4607-1",1,6,"Jessup",3,1,1,0,"3","3","9",1,3,4,"3","1",23,"2","1",0.476833706009734,0.105590063029976,0.186335405347016,0.180124225168782,12.592018486192,1,"20794","7522 Montevideo Ct","""20794"""
1,"4","BT-SA-4612-1",1,6,"Baltimore",3,3,2,0,"1","1","7",1,3,3,"2","1",22,"2","1",0.798293071441249,0.0904216600079309,0.0329153611206651,0.062695925944124,12.345838935722,1,"21236","3 Powhurst Ct","""21236"""
1,"1","BT-SA-4612-1",1,6,"Baltimore",3,3,2,0,"3","3","9",1,3,4,"3","2",23,"1","1",0.798293071441249,0.0904216600079309,0.0329153611206651,0.062695925944124,12.345838935722,1,"21236","3 Powhurst Ct","""21236"""
1,"1","BT-SA-4614-1",1,6,"Jessup",2,1,2,1,"5","5","9",1,2,2,"2","7",23,"2","1",0.822222219611993,0.079185364827983,0,0.0714285712018141,12.5058105040752,1,"20794","7522 Montevideo court","""20794"""
1,"4","BT-SA-4614-1",1,6,"Jessup",2,1,1,1,"10","-1","9",3,4,4,"3","2",24,"2","1",0.822222219611993,0.079185364827983,0,0.0714285712018141,12.5058105040752,1,"20794","7522 Montevideo Court","""20794"""
1,"3","BT-SA-4618-1",1,6,"Bel Air",2,4,2,1,"9","1","7",1,2,2,"2","1",22,"1","1",0.897190972314769,0.0337657188895155,0.0159420290086116,0.0478260870258349,12.0696857512672,1,"21014","409 Aggies Ci","""21014"""
