Table,,Mothers,Column,Original,Updated,Outside Range,update more discrim,Variance Original,Variance updated,Variance decrease,Original Significance,Updated Significance,Maintain or Improve Significance,,
8B,Hispanic,0,1,0.0205,0.0151,0,0,0.0076,0.0061,1,3,2,0,0,1
8B,Asian,0,1,-0.0009,0.0008,0,1,0.0069,0.0065,1,0,0,0,0,0
8B,Overall,0,2,-0.0254,-0.0145,0,0,0.0099,0.0088,1,2,0,0,0,1
8B,African,0,2,-0.0302,-0.0143,0,0,0.013,0.0112,1,2,0,0,0,1
8B,Hispanic,0,2,-0.0387,-0.0328,0,0,0.013,0.0121,1,3,3,1,0,0
8B,Asian,0,2,0.0072,0.0052,0,1,0.0128,0.0115,1,0,0,0,0,0
8B,Overall,0,3,-0.0182,-0.0095,0,0,0.01,0.0089,1,1,0,0,0,1
8B,African,0,3,-0.034,-0.0181,0,0,0.0127,0.0113,1,3,0,0,0,1
8B,Hispanic,0,3,-0.0216,-0.0193,0,0,0.0127,0.0113,1,1,1,1,0,0
8B,Asian,0,3,0.0029,0.0116,0,0,0.0142,0.0124,1,0,0,0,0,0
8B,Overall,0,4,0.0077,0.0079,0,1,0.0062,0.0055,1,0,0,0,0,0
8B,African,0,4,0.0167,0.0121,0,0,0.0087,0.0073,1,1,1,1,0,0
8B,Hispanic,0,4,0.0157,0.0133,0,0,0.0084,0.0078,1,1,1,1,0,0
8B,Asian,0,4,-0.0061,-0.003,0,1,0.0085,0.0236,0,0,0,0,0,0
8B,Overall,0,5,-0.017,-0.0126,0,0,0.0142,0.0133,1,0,0,0,0,0
8B,African,0,5,-0.0263,-0.0114,0,0,0.0184,0.0171,1,0,0,0,0,0
8B,Hispanic,0,5,0.0059,-0.0128,0,1,0.0203,0.0176,1,0,0,0,0,0
8B,Asian,0,5,-0.0232,-0.0139,0,0,0.0176,0.017,1,0,0,0,0,0
9A,Overall,0,1,0.101,0.0518,0,0,0.0325,0.0373,0,3,0,0,0,1
9A,African,0,1,0.1256,0.0542,0,0,0.0465,0.0456,1,3,0,0,0,1
9A,Hispanic,0,1,0.0591,0.0515,0,0,0.0376,0.0441,0,0,0,0,0,0
9A,Asian,0,1,0.1046,0.0493,0,0,0.0484,0.052,0,2,0,0,0,1
9A,Overall,0,2,765.9137,1397.9268,0,1,324.98,638.2743,0,2,2,1,0,0
9A,African,0,2,872.9819,985.7117,0,1,403.4626,520.8358,0,2,2,1,0,0
9A,Hispanic,0,2,459.7823,2005.6041,0,1,544.8236,1216.5069,0,0,1,1,0,0
9A,Asian,0,2,899.5148,1231.7497,0,1,424.3961,532.749,0,2,2,1,0,0
9A,Overall,0,3,-0.0438,-0.0261,0,1,0.0504,0.0426,1,0,0,0,0,0
9A,African,0,3,-0.0252,-0.0213,0,1,0.0678,0.0578,1,0,0,0,0,0
9A,Hispanic,0,3,0.0102,0.045,0,1,0.0638,0.054,1,0,0,0,0,0
9A,Asian,0,3,-0.1243,-0.109,0,1,0.0617,0.0537,1,2,2,1,0,0
9B,Overall,1,1,0.1444,0.1683,0,1,0.0496,0.0505,0,3,3,1,1,0
9B,African,1,1,0.1978,0.2698,0,1,0.075,0.0774,0,3,3,1,1,0
9B,Hispanic,1,1,0.0276,0.1183,0,1,0.0677,0.0544,1,0,2,1,1,0
9B,Asian,1,1,0.0808,0.1675,0,1,0.0627,0.0649,0,0,2,1,1,0
9B,Overall,1,2,1110.533,4056.1299,0,1,691.5594,1647.4938,0,0,2,1,1,0
9B,African,1,2,2387.196,5225.3904,0,1,992.5587,20212.9559,0,2,3,1,1,0
9B,Hispanic,1,2,1361.698,4958.2436,0,1,853.3277,1868.124,0,0,3,1,1,0
9B,Asian,1,2,509.9719,1556.4075,0,1,858.7148,1709.5214,0,0,0,0,0,0
9B,Overall,1,3,0.0082,-0.0026,0,0,0.1091,0.1139,0,0,0,0,0,0
9B,African,1,3,0.0836,-0.0197,0,0,0.147,0.1488,0,0,0,0,0,0
9B,Hispanic,1,3,0.2007,0.0342,0,0,0.1223,0.1211,1,0,0,0,0,0
9B,Asian,1,3,-0.0378,-0.0513,0,0,0.1472,0.1389,1,0,0,0,0,0
10A,Overall,1,1,-0.1471,-0.1516,0,1,0.0483,0.0597,0,3,2,0,0,1
